iter	Passed	Remaining
543	3941	3303
544	3947	3295
545	3953	3287
546	3959	3278
547	3965	3270
548	3972	3263
549	3978	3255
550	3984	3246
551	3990	3238
552	3996	3230
553	4002	3222
554	4015	3219
555	4022	3212
556	4028	3204
557	4035	3196
558	4043	3189
559	4050	3182
560	4057	3174
561	4063	3166
562	4072	3161
563	4079	3153
564	4085	3145
565	4092	3138
566	4098	3130
567	4107	3123
568	4113	3115
569	4119	3107
570	4126	3100
571	4134	3093
572	4142	3087
573	4149	3079
574	4155	3071
575	4162	3063
576	4170	3057
577	4177	3049
578	4183	3041
579	4189	3033
580	4195	3025
581	4204	3019
582	4210	3011
583	4216	3003
584	4222	2995
585	4228	2987
586	4236	2980
587	4242	2972
588	4248	2964
589	4254	2956
590	4260	2948
591	4268	2942
592	4274	2933
593	4281	2926
594	4287	2918
595	4292	2909
596	4300	2903
597	4306	2895
598	4312	2887
599	4318	2879
600	4324	2871
601	4334	2865
602	4341	2858
603	4349	2851
604	4355	2843
605	4363	2837
606	4370	2829
607	4376	2821
608	4383	2814
609	4389	2806
610	4397	2799
611	4404	2792
612	4411	2784
613	4417	2777
614	4425	2770
615	4433	2763
616	4440	2756
617	4446	2748
618	4453	2741
619	4461	2734
620	4468	2727
621	4475	2719
622	4481	2712
623	4488	2704
624	4496	2697
625	4501	2689
626	4507	2681
627	4514	2673
628	4519	2665
629	4527	2659
630	4533	2651
631	4539	2643
632	4546	2635
633	4551	2627
634	4559	2620
635	4565	2613
636	4571	2605
637	4578	2597
638	4584	2590
639	4592	2583
640	4598	2575
641	4604	2567
642	4610	2559
643	4616	2552
644	4625	2545
645	4631	2537
646	4637	2530
647	4644	2522
648	4650	2514
649	4659	2509
650	4666	2501
651	4673	2494
652	4679	2486
653	4688	2480
654	4696	2473
655	4702	2465
656	4708	2458
657	4715	2450
658	4723	2444
659	4730	2436
660	4737	2429
661	4744	2422
662	4752	2415
663	4760	2409
664	4767	2401
665	4774	2394
666	4780	2386
667	4789	2380
668	4796	2372
669	4802	2365
670	4808	2357
671	4814	2349
672	4821	2342
673	4827	2335
674	4834	2327
675	4840	2319
676	4846	2312
677	4854	2305
678	4860	2297
679	4866	2290
680	4872	2282
681	4878	2274
682	4887	2268
683	4893	2260
684	4898	2252
685	4904	2245
686	4910	2237
687	4918	2230
688	4924	2222
689	4931	2215
690	4938	2208
691	4944	2200
692	4953	2194
693	4959	2186
694	4967	2179
695	4973	2172
696	4982	2165
697	4989	2158
698	4995	2151
699	5001	2143
700	5008	2136
701	5016	2129
702	5023	2122
703	5029	2114
704	5036	2107
705	5043	2100
706	5053	2094
707	5059	2086
708	5066	2079
709	5072	2071
710	5081	2065
711	5087	2057
712	5093	2050
713	5099	2042
714	5105	2035
715	5113	2028
716	5119	2020
717	5125	2013
718	5131	2005
719	5137	1997
720	5144	1990
721	5151	1983
722	5157	1976
723	5164	1968
724	5171	1961
725	5180	1955
726	5186	1947
727	5192	1939
728	5197	1932
729	5203	1924
730	5212	1918
731	5218	1910
732	5226	1903
733	5232	1896
734	5239	1889
735	5247	1882
736	5254	1875
737	5260	1867
738	5266	1860
739	5276	1854
740	5283	1846
741	5290	1839
742	5296	1832
743	5302	1824
744	5311	1818
745	5318	1810
746	5324	1803
747	5330	1795
748	5337	1788
749	5345	1781
750	5352	1774
751	5359	1767
752	5366	1760
753	5376	1754
754	5382	1746
755	5389	1739
756	5395	1732
757	5403	1725
758	5409	1717
759	5415	1710
760	5421	1702
761	5426	1695
762	5434	1688
763	5440	1680
764	5446	1673
765	5452	1665
766	5458	1658
767	5466	1651
768	5472	1643
769	5478	1636
770	5484	1629
771	5490	1621
772	5498	1614
773	5504	1607
774	5510	1599
775	5516	1592
776	5522	1584
777	5530	1578
778	5537	1570
779	5544	1563
780	5550	1556
781	5557	1549
782	5567	1542
783	5586	1539
784	5597	1533
785	5605	1526
786	5611	1518
787	5618	1511
788	5624	1504
789	5633	1497
790	5640	1490
791	5646	1483
792	5654	1475
793	5662	1469
794	5668	1461
795	5674	1454
796	5681	1446
797	5687	1439
798	5695	1432
799	5701	1425
800	5707	1418
801	5713	1410
802	5719	1403
803	5726	1396
804	5732	1388
805	5738	1381
806	5744	1373
807	5750	1366
808	5758	1359
809	5765	1352
810	5771	1344
811	5777	1337
812	5784	1330
813	5791	1323
814	5798	1316
815	5804	1308
816	5810	1301
817	5816	1294
818	5824	1287
819	5832	1280
820	5838	1273
821	5845	1265
822	5851	1258
823	5859	1251
824	5866	1244
825	5874	1237
826	5880	1230
827	5889	1223
828	5896	1216
829	5903	1209
830	5909	1201
831	5916	1194
832	5924	1187
833	5931	1180
834	5937	1173
835	5944	1166
836	5952	1159
837	5960	1152
838	5967	1145
839	5974	1137
840	5981	1130
841	5990	1124
842	5997	1116
843	6003	1109
844	6009	1102
845	6015	1095
846	6024	1088
847	6030	1080
848	6036	1073
849	6042	1066
850	6048	1059
851	6056	1052
852	6063	1044
853	6069	1037
854	6075	1030
855	6081	1023
856	6089	1016
857	6095	1008
858	6101	1001
859	6107	994
860	6114	987
861	6121	980
862	6127	972
863	6134	965
864	6140	958
865	6149	951
866	6156	944
867	6164	937
868	6171	930
869	6179	923
870	6187	916
871	6193	909
872	6199	901
873	6210	895
874	6220	888
875	6227	881
876	6234	874
877	6240	867
878	6248	860
879	6255	853
880	6262	845
881	6268	838
882	6275	831
883	6284	824
884	6291	817
885	6297	810
886	6302	802
887	6309	795
888	6316	788
889	6322	781
890	6327	774
891	6332	766
892	6338	759
893	6346	752
894	6353	745
895	6358	738
896	6364	730
897	6371	723
898	6379	716
899	6386	709
900	6393	702
901	6399	695
902	6406	688
903	6414	681
904	6420	673
905	6426	666
906	6432	659
907	6438	652
908	6448	645
909	6455	638
910	6462	631
911	6468	624
912	6477	617
913	6483	610
914	6490	602
915	6496	595
916	6503	588
917	6512	581
918	6518	574
919	6524	567
920	6531	560
921	6538	553
922	6545	546
923	6552	538
924	6558	531
925	6566	524
926	6573	517
927	6581	510
928	6587	503
929	6594	496
930	6601	489
931	6610	482
932	6617	475
933	6623	468
934	6629	460
935	6636	453
936	6642	446
937	6649	439
938	6653	432
939	6659	425
940	6665	417
941	6672	410
942	6678	403
943	6683	396
944	6689	389
945	6696	382
946	6703	375
947	6708	367
948	6714	360
949	6720	353
950	6726	346
951	6734	339
952	6740	332
953	6746	325
954	6752	318
955	6758	311
956	6767	304
957	6773	296
958	6781	289
959	6787	282
960	6796	275
961	6804	268
962	6812	261
963	6818	254
964	6824	247
965	6833	240
966	6839	233
967	6845	226
968	6851	219
969	6859	212
970	6866	205
971	6873	197
972	6879	190
973	6886	183
974	6894	176
975	6901	169
976	6907	162
977	6914	155
978	6920	148
979	6929	141
980	6936	134
981	6942	127
982	6948	120
983	6953	113
984	6961	106
985	6967	98
986	6973	91
987	6979	84
988	6984	77
989	6994	70
990	7000	63
991	7006	56
992	7013	49
993	7019	42
994	7027	35
995	7032	28
996	7038	21
997	7043	14
998	7049	7
999	7056	0
